Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-076T20:21:26.3875Z [Mar 17] ( 26.458,  89.539)     137634           207       5      15    75965
2011-076T20:21:27.0820Z [Mar 17] ( 26.436,  89.834)      47432            71       3       7    75965
2011-076T20:21:30.0096Z [Mar 17] ( 25.025,  91.719)    2996244           746      44     305    75965
2011-076T20:21:32.0900Z [Mar 17] ( 26.454,  89.940)       5734             0       1       1    75965
2011-076T20:21:34.0095Z [Mar 17] ( 25.098,  91.433)     284950           264      21      43    75965
2011-076T20:21:35.6547Z [Mar 17] ( 26.424,  89.839)      15076             0       1       3    75965
2011-076T20:21:37.3381Z [Mar 17] ( 24.905,  91.630)     100652           413      11      21    75965
2011-076T20:21:37.7210Z [Mar 17] ( 26.638,  91.698)     202466           245       8      25    75965
2011-076T20:21:37.8447Z [Mar 17] ( 26.661,  91.732)     191021           137       5      19    75965
2011-076T20:21:39.6155Z [Mar 17] ( 26.453,  89.736)      29371            21       4       6    75965
2011-076T20:21:40.1562Z [Mar 17] ( 25.061,  91.403)     524779           270      12      51    75965
2011-076T20:21:41.1265Z [Mar 17] ( 24.841,  91.802)     184453           493       6      26    75965
